Date,Time,device_id,usage_kw,temp
10/13/2025,0:00:00,fridge,0.106689075,33.37510526
10/13/2025,1:00:00,fridge,0.054282913,39.54155977
10/13/2025,2:00:00,fridge,0.074909713,39.95956201
10/13/2025,3:00:00,fridge,0.174156317,30.70162321
10/13/2025,4:00:00,fridge,0.164603366,36.56517295
10/13/2025,5:00:00,fridge,0.112430233,31.50788697
10/13/2025,6:00:00,fridge,0.095432881,43.80127508
10/13/2025,7:00:00,fridge,0.194524861,41.81555209
10/13/2025,8:00:00,fridge,0.187314937,35.46074111
10/13/2025,9:00:00,fridge,0.133179486,35.7352747
10/13/2025,10:00:00,fridge,0.058610912,37.42911963
10/13/2025,11:00:00,fridge,0.145131458,31.3001417
10/13/2025,12:00:00,fridge,0.162952248,33.35608776
10/13/2025,13:00:00,fridge,0.123016093,37.34557876
10/13/2025,14:00:00,fridge,0.174081742,40.52975929
10/13/2025,15:00:00,fridge,0.066170303,33.56102698
10/13/2025,16:00:00,fridge,0.191759877,17.41603022
10/13/2025,17:00:00,fridge,0.167305696,32.63333323
10/13/2025,18:00:00,fridge,0.101906041,37.95299367
10/13/2025,19:00:00,fridge,0.162735769,41.34456234
10/13/2025,20:00:00,fridge,0.141839501,32.40644445
10/13/2025,21:00:00,fridge,0.091287056,33.95614678
10/13/2025,22:00:00,fridge,0.145958951,31.83121168
10/13/2025,23:00:00,fridge,0.100455526,32.13590016
10/14/2025,0:00:00,fridge,0.059099491,37.15336106
10/14/2025,1:00:00,fridge,0.102715242,39.53773592
10/14/2025,2:00:00,fridge,0.147261022,45.99543833
10/14/2025,3:00:00,fridge,0.198649273,33.57079348
10/14/2025,4:00:00,fridge,0.184228152,37.71729354
10/14/2025,5:00:00,fridge,0.105068906,31.8626055
10/14/2025,6:00:00,fridge,0.108287813,26.41871218
10/14/2025,7:00:00,fridge,0.116275222,31.59429155
10/14/2025,8:00:00,fridge,0.192430807,27.13528873
10/14/2025,9:00:00,fridge,0.09629914,32.86958332
10/14/2025,10:00:00,fridge,0.194270739,41.7251427
10/14/2025,11:00:00,fridge,0.196186493,31.22708613
10/14/2025,12:00:00,fridge,0.085783682,29.75324362
10/14/2025,13:00:00,fridge,0.1780895,25.46478825
10/14/2025,14:00:00,fridge,0.11115288,35.46340783
10/14/2025,15:00:00,fridge,0.067399777,33.1110243
10/14/2025,16:00:00,fridge,0.191447113,29.55890609
10/14/2025,17:00:00,fridge,0.149001952,42.59583766
10/14/2025,18:00:00,fridge,0.101770832,41.77145843
10/14/2025,19:00:00,fridge,0.084187359,42.06534928
10/14/2025,20:00:00,fridge,0.167840234,28.76143411
10/14/2025,21:00:00,fridge,0.170120496,34.29207361
10/14/2025,22:00:00,fridge,0.111145136,33.5076608
10/14/2025,23:00:00,fridge,0.114853441,29.04734601
10/15/2025,0:00:00,fridge,0.106664273,30.16264173
10/15/2025,1:00:00,fridge,0.110406964,29.77235853
10/15/2025,2:00:00,fridge,0.05860778,40.0598014
10/15/2025,3:00:00,fridge,0.192182864,35.1216117
10/15/2025,4:00:00,fridge,0.063338625,31.48749051
10/15/2025,5:00:00,fridge,0.132641626,38.02212568
10/15/2025,6:00:00,fridge,0.134040973,33.85465981
10/15/2025,7:00:00,fridge,0.104891105,30.55987135
10/15/2025,8:00:00,fridge,0.189465471,34.05234486
10/15/2025,9:00:00,fridge,0.115122209,37.12798751
10/15/2025,10:00:00,fridge,0.170194172,29.66793774
10/15/2025,11:00:00,fridge,0.165861689,30.67253654
10/15/2025,12:00:00,fridge,0.128051481,33.28141954
10/15/2025,13:00:00,fridge,0.065460567,35.01438352
10/15/2025,14:00:00,fridge,0.065113786,22.7900793
10/15/2025,15:00:00,fridge,0.19659334,31.72777352
10/15/2025,16:00:00,fridge,0.160193187,30.04621826
10/15/2025,17:00:00,fridge,0.15737561,35.26952869
10/15/2025,18:00:00,fridge,0.180061172,27.25333259
10/15/2025,19:00:00,fridge,0.086055505,31.70491749
10/15/2025,20:00:00,fridge,0.071809681,37.38209376
10/15/2025,21:00:00,fridge,0.133320301,32.30827005
10/15/2025,22:00:00,fridge,0.054150069,41.63223388
10/15/2025,23:00:00,fridge,0.142358946,29.4453315
10/16/2025,0:00:00,fridge,0.153270194,37.94886916
10/13/2025,0:00:00,microwave,0.665017033,26.7128053
10/13/2025,1:00:00,microwave,0.558408079,35.1958423
10/13/2025,2:00:00,microwave,1.27310564,27.69380049
10/13/2025,3:00:00,microwave,1.490058192,35.62918937
10/13/2025,4:00:00,microwave,1.125371977,34.47565906
10/13/2025,5:00:00,microwave,0.933052806,36.62006951
10/13/2025,6:00:00,microwave,0.093339866,33.81116279
10/13/2025,7:00:00,microwave,0.406730608,26.50404924
10/13/2025,8:00:00,microwave,0.38711913,43.06959899
10/13/2025,9:00:00,microwave,0.026572126,40.96502842
10/13/2025,10:00:00,microwave,0.528901194,39.65505064
10/13/2025,11:00:00,microwave,0.811644723,36.21597283
10/13/2025,12:00:00,microwave,0.782428175,41.7271545
